Customer Number,Company,Address1,Address2,Address3,City,State,PostalCode,Phone,Route,Branch,Route Code
WCC06-61730  ,SHELL - MID VALLEY PP#35                ,27800 DORRIS DR                         ,                                        ,,CARMEL              ,CA             ,93923,(831) 626-3499,2900,545,
WCC06-61731  ,SHELL - DEL MONTE PP#43                 ,3030 DEL MONTE BLVD                     ,                                        ,,MARINA              ,CA             ,93933,(831) 582-2354,2900,545,
WCC06-61592  ,CHEVRON - LIVERMORE KPM CAR WASH        ,2186 LAS POSITAS CT                     ,                                        ,,LIVERMORE           ,CA             ,94551,(925) 960-1000,2900,545,
WCC06-61605  ,GAS N SHOP #302                         ,505 S VAN NESS                          ,                                        ,,SAN FRANCISCO       ,CA             ,94110,(415) 863-6347,2900,545,
WCC06-61607  ,OAKLAND FIREHOUSE #4                    ,1235 INTERNATIONAL BLVD                 ,                                        ,,OAKLAND             ,CA             ,94606,,2900,545,
WCC06-61625  ,GOLDEN EAGLE GAS                        ,16995 MONTEREY ST                       ,                                        ,,MORGAN HILL         ,CA             ,95037,(925) 890-8305,2900,545,
WCC02-120045 ,RAYS FOOD PLACE #60 - PRINEVILLE        ,1535 NE 3RD STREET                      ,                                        ,,PRINEVILLE          ,OR             ,97754,(541) 447-6423,2900,545,
WCC02-21058  ,RAYS FOOD PLACE #39 - VENETA            ,25013 HWY 126                           ,                                        ,,VENETA              ,OR             ,97487,(541) 935-1811,2900,545,
WCC02-21107  ,RAYS FOOD PLACE #50 - OAKRIDGE          ,48067 HWY 58                            ,                                        ,,OAKRIDGE            ,OR             ,97463,(541) 782-4283,2900,545,
WCC02-25522  ,ON THE WAY MARKET                       ,38299 OR-58                             ,                                        ,,DEXTER              ,OR             ,97431,(541) 747-8238,2900,545,
WCC06-61739  ,GOLDEN 7 QUICK SERVE                    ,575 23RD ST                             ,                                        ,,RICHMOND            ,CA             ,94804,(510) 575-8014,2900,545,
WCC06-61752  ,505 MARKET INC - AA CORP                ,505 SKYLINE DR                         ,                                        ,,DALY CITY           ,CA             ,94015,(510) 479-4726,2900,545,
WCC06-61756  ,NU REV COMMUNICATIONS                   ,2428 RESEARCH DR                       ,                                        ,,LIVERMORE           ,CA             ,94550,(925) 447-4500,2900,545,
WCC06-61760  ,VALERO - INC                            ,1699 S DE ANAZ BLVD                   ,                                        ,,CUPERTINO           ,CA             ,95014,(408) 406-3158,2900,545,
WCC02-25536  ,TUMALO PERK                             ,64653 BRUCE AVENUE                      ,                                        ,,BEND                ,OR             ,97001,(541) 647-0794,2900,545,
WCC02-25538  ,NEIGHBORS CHOICE - COTTAGE GROVE        ,10 VAN BURN                             ,                                        ,,COTTAGE GROVE       ,OR             ,97424,(541) 513-3672,2900,545,
WCC02-25542  ,RUFF DAY LATTES                         ,133 WESTWOOD LN                         ,                                        ,,SUTHERLIN           ,OR             ,97479,(541) 430-5724,2900,545,
WCC02-25544  ,ESPRESSO MILL                           ,520 S EMPIRE BLVD                     ,                                        ,,COOS BAY            ,OR             ,97420,(541) 808-0005,2900,545,
WCC06-61761  ,SHELL - SARATOGA                        ,1698 S DE ANAZ BLVD                    ,                                        ,,SAN JOSE            ,CA             ,95129,(408) 406-3158,2900,545,
WCC06-61769  ,TOP MINI MARKET                         ,1522 RUMRILL BLVD                       ,                                        ,,SAN PABLO           ,CA             ,94804,(510) 672-5168,2900,545,
WCC06-61770  ,SAN INFORMATIC MOBIL                    ,3767 ALHAMBRA                           ,                                        ,,MARTINEZ            ,CA             ,94553,(510) 305-6909,2900,545,
WCC06-61771  ,MB ENTERPRISES INC                      ,1705 CONTRA COSTA BLVD                  ,                                        ,,PLEASANT HILL       ,CA             ,94523,(925) 685-5691,2900,545,
WCC06-61636  ,SHELL - GUSTINE                         ,32932 SULLIVAN RD                       ,                                        ,,GUSTINE             ,CA             ,95322,(209) 587-6150,2900,545,
WCC06-61646  ,GAS N SHOP #201                         ,599 S VAN NESS                          ,                                        ,,SAN FRANSISCO       ,CA             ,94110,(415) 863-6835,2900,545,
WCC06-61653  ,VALERO - EL PORTAL                      ,2701 EL PORTAL DR                       ,                                        ,,SAN PABLO           ,CA             ,94806,(510) 685-3363,2900,545,
WCC02-25553  ,GRIFFS ON THE DOCK                      ,210 DOCK RD                             ,                                        ,,PORT ORFORD         ,OR             ,97465,(208) 880-6980,2900,545,
WCC03-150080 ,PATRIOT FT DICK MARKET                  ,6670 LAKE EARL DRIVE                    ,                                        ,,FORT DICK           ,CA             ,95538,(707) 487-0155,2900,545,
WCC03-150137 ,ORICK MARKET                            ,121175 HWY 101                          ,                                        ,,ORICK               ,CA             ,95555,(707) 488-2120,2900,545,
WCC03-21074  ,SHELL - MYRTLE AVE - HP#5               ,1434 MYTLE AVE                         ,                                        ,,EUREKA              ,CA             ,95501,(707) 445-4435,2900,545,
WCC06-61773  ,RAINBOW MARKET N DELI                   ,684 LARKIN ST                           ,                                        ,,SAN FRANCISCO       ,CA             ,94109,(415) 867-2624,2900,545,
WCC06-61775  ,76 - CALIFORNIA                         ,301 25TH AVE                            ,                                        ,,SAN FRANCISCO       ,CA             ,94121,(650) 799-9197,2900,545,
WCC06-61803  ,KWIK SERV - MORGAN HILL                 ,17015 MONTEREY RD                       ,                                        ,,MORGAN HILL         ,CA             ,95037,(650) 305-0434,2900,545,
WCC06-61823  ,K & R BEER & WINE                       ,711 S 9TH ST                           ,                                        ,,MODESTO             ,CA             ,95351,(209) 523-2777,2900,545,
WCC06-61659  ,GAS N SHOP #3139 - JEFFERSON            ,3139 JEFFERSON AVE                      ,                                        ,,REDWOOD CITY        ,CA             ,94061,(650) 280-8667,2900,545,
WCC06-61672  ,GAS N SHOP - VASCO RD                   ,816 N VASCO RD                          ,                                        ,,LIVERMORE           ,CA             ,94556,(925) 443-5600,2900,545,
WCC06-61674  ,SHELL - ALPINE LADERA FUEL INC          ,201 LA CUESTA DR                        ,                                        ,,PORTOLA VALLEY      ,CA             ,94028,(650) 854-5230,2900,545,
WCC06-61711  ,KWIK SERV                               ,1503 CARLSON BLVD                      ,                                        ,,RICHMOND            ,CA             ,94804,(510) 535-1672,2900,545,
WCC06-61725  ,SHELL - SOLEDAD PP #42                  ,1305 FRONT ST                           ,                                        ,,SOLEDAD             ,CA             ,93960,(831) 678-2225,2900,545,
WCC06-61732  ,SHELL - PACIFIC GROVE PP#15             ,687 LIGHTHOUSE AVE                      ,                                        ,,PACIFIC GROVE       ,CA             ,93950,(831) 643-9491,2900,545,
WCC06-61740  ,GAS N SHOP - RODEO                      ,401 PARKER AVE                          ,                                        ,,RODEO               ,CA             ,94572,(510) 799-1361,2900,545,
WCC06-61759  ,CHEVRON EXTRA MILE - BERRYESSA #96215   ,1715 BERRYESSA RD                      ,                                        ,,SAN JOSE            ,CA             ,95133,(408) 259-0403,2900,545,
WCC03-21078  ,SHELL - 5TH ST - HP#9                   ,1310 5TH STREET                         ,                                        ,,EUREKA              ,CA             ,95501,(707) 445-4445,2900,545,
WCC03-21079  ,SHELL - EUREKA 4TH ST - HP#10           ,2111 4TH STREET                         ,                                        ,,EUREKA              ,CA             ,95501,(707) 445-4457,2900,545,
WCC03-21085  ,SHELL - R VILLAGE - HP#16               ,723 SOUTH FORTUNA BLVD                 ,                                        ,,FORTUNA             ,CA             ,95540,(707) 725-1176,2900,545,
WCC03-21117  ,RAYS FOOD PLACE #7 - ARCATA             ,5000 VALLEY WEST BLVD                   ,                                        ,,ARCATA              ,CA             ,95521,(707) 822-0188,2900,545,
WCC06-61824  ,MASH GAS N FOOD #5                      ,22 BRYANT WAY                           ,                                        ,,ORINDA              ,CA             ,94563,(510) 292-5407,2900,545,
WCC06-61830  ,EL PARCE CAFE                           ,517 O`FARRELL ST                        ,                                        ,,SAN FRANCISCO       ,CA             ,94102,(415) 867-3262,2900,545,
WCC06-61840  ,CENTRAL GAS - MODESTO                   ,1606 SISK RD                            ,                                        ,,MODESTO             ,CA             ,95354,,2900,545,
WCC06-61766  ,CUTTING MINI MART                       ,1001 CUTTING BLVD                      ,                                        ,,RICHMOND            ,CA             ,94804,(510) 672-5168,2900,545,
WCC06-61772  ,G&M #202 - 76 HOMESTEAD                 ,3501 HOMESTEAD RD                       ,                                        ,,SANTA CLARA         ,CA             ,95051,(562) 544-9699,2900,545,
WCC06-61774  ,76 - COCHRAN                            ,1107 COCHRANE RD                        ,                                        ,,MORGAN HILL         ,CA             ,95037,(510) 305-1280,2900,545,
WCC06-61776  ,BELMONT DOUBLETIME - AA CORP,701 HARBOR BLVD                         ,                                        ,,BELMONT             ,CA             ,94002,(650) 264-8101,2900,545,
WCC06-61847  ,SHELL FOOD MART -  PACHECO PASS RD      ,850 PACHECO PASS RD                     ,                                        ,,GILROY              ,CA             ,95020,(623) 742-5671,2900,545,
WCC06-61853  ,HNS MARKET                              ,147 N AURORA ST                        ,                                        ,,STOCKTON            ,CA             ,95202,(510) 677-4614,2900,545,
WCC06-61865  ,SHELL - STORY RD - ANABI OIL            ,2790 STORY RD                           ,                                        ,,SAN JOSE            ,CA             ,95127,(408) 259-7070,2900,545,
WCC06-61867  ,A & A GAS - HOLLY ST                    ,907 HOLLY ST                            ,                                        ,,SAN CARLOS          ,CA             ,94070,(650) 595-1191,2900,545,
WCC06-61778  ,VALREO - MORGAN HILL GAS                ,17905 MONTEREY RD                       ,                                        ,,MORGAN HILL         ,CA             ,95037,(650) 305-0434,2900,545,
WCC06-61802  ,ACAMBARO BAKERY                         ,160 SOLEDAD ST                         ,                                        ,,SOLEDAD             ,CA             ,93960,(831) 776-4819,2900,545,
WCC06-61806  ,76 - EAGLE CANYON - HERCULES            ,828 WILLOW AVE                          ,                                        ,,HERCULES            ,CA             ,94547,(510) 799-1415,2900,545,
WCC06-61815  ,H & M FOOD MART - AA CORP               ,2400 SAN BRUNO                          ,                                        ,,SAN FRANCISCO       ,CA             ,94134,(209) 300-1214,2900,545,
WCC03-31010  ,FORBUSCO LUMBER CO.                     ,1784 SMITH LN                          ,                                        ,,FORTUNA             ,CA             ,95540,(707) 725-5111,2900,545,
WCC03-31023  ,KONOCTI VISTA CASINO                    ,2755 MISSION RANCHERIA RD              ,                                        ,,LAKEPORT            ,CA             ,95453,(707) 262-1900,2900,545,
WCC03-31025  ,"COBB PACIFIC, INC.                      ",16390 HWY 175                          ,                                        ,,COBB                ,CA             ,95426,(707) 263-9292,2900,545,
WCC03-31026  ,TWO JACKS STATION                       ,5200 S MAIN ST                        ,                                        ,,KELSEYVILLE         ,CA             ,95451,(707) 279-8664,2900,545,
WCC06-61868  ,S. EXPRESS - ANABI OIL                  ,1598 ALUM ROCK                          ,                                        ,,SAN JOSE            ,CA             ,95116,(408) 259-1841,2900,545,
WCC06-61873  ,JIMMY`S TACQUERIA                       ,2282 E YOSEMITE AVE                     ,                                        ,,MANTECA             ,CA             ,95336,(209) 353-7956,2900,545,
WCC06-61882  ,MARATHON GILROY                         ,700 FIRST ST                            ,                                        ,,GILROY              ,CA             ,95020,(408) 842-8012,2900,545,
WCC07-1631   ,RAYS FOOD PLACE #63 - JACKSONVILLE      ,401 N 5TH ST                          ,                                        ,,JACKSONVILLE        ,OR             ,97530,(541) 899-1262,2900,545,
WCC03-31027  ,RAYS FOOD PLACE #64 - GARBERVILLE       ,875 REDWOOD DR                         ,                                        ,,GARBERVILLE         ,CA             ,95440,(707) 923-2279,2900,545,
WCC03-31053  ,PATRIOT - S. BROADWAY                   ,4075 BROADWAY                           ,                                        ,,EUREKA              ,CA             ,95503,(707) 443-6051,2900,545,
WCC03-31056  ,L & M RENNER                            ,1100 W 14TH ST                          ,                                        ,,EUREKA              ,CA             ,95501,(707) 449-1645,2900,545,
WCC03-31071  ,GOLDEN GATE - SHELL WILLITS             ,1579 S MAIN ST                         ,                                        ,,WILLITS             ,CA             ,95490,(707) 456-0696,2900,545,
WCC06-61821  ,CENTRAL GAS - RICHMOND                  ,1825 CUTTING BLVD                       ,                                        ,,RICHMOND            ,CA             ,94804,(650) 267-0523,2900,545,
WCC06-61826  ,ANABI OIL - AISLE 1 #389                ,3020 FLOYD AVE                          ,SUITE 189                               ,,MODESTO             ,CA             ,95355,(209) 552-2369,2900,545,
WCC06-61835  ,VALERO - SAN RAMON                      ,2350 SAN RAMON VALLEY BLVD              ,                                        ,,SAN RAMON           ,CA             ,94563,(925) 718-5161,2900,545,
WCC06-61837  ,V.K. CHEVRON                            ,1300 N CARPENTER RD                   ,                                        ,,MODESTO             ,CA             ,95351,(209) 526-9022,2900,545,
WCC07-1783   ,RAYS FOOD PLACE #71 - SELMA             ,110 DEER CREEK RD                      ,                                        ,,SELMA               ,OR             ,97538,(541) 597-4349,2900,545,
WCC07-20199  ,RAYS FOOD PLACE #43 - GOLD HILL         ,868 2ND AVE                             ,                                        ,,GOLD HILL           ,OR             ,97525,(541) 855-1505,2900,545,
WCC07-25551  ,MINUTE MARKET #1                        ,1217 W STEWART AVE                      ,                                        ,,MEDFORD             ,OR             ,97501,(541) 779-3737,2900,545,
WCC07-25552  ,MINUTE MARKET #9                        ,458 HIGHLAND DR                         ,                                        ,,MEDFORD             ,OR             ,97501,(541) 779-5649,2900,545,
WCC03-31072  ,MURRISH & REESE SLIGHTLY TWISTED        ,PO BOX 923                              ,                                        ,,REDWAY              ,CA             ,95560,(707) 223-1203,2900,545,
WCC03-31075  ,CC MARKET AND DELI                      ,1328 EELOA AVENUE                       ,                                        ,,RIO DELL            ,CA             ,95562,(707) 764-3073,2900,545,
WCC03-31077  ,CHEVRON - ROHNERVILLE                   ,3663 ROHNERVILLE RD                     ,                                        ,,FORTUNA             ,CA             ,95540,(707) 725-5772,2900,545,
WCC03-31081  ,ROCKIN A ADVENTURE CAFE                 ,1313 SOUTH CLOVERDALE                   ,                                        ,,CLOVERDALE          ,CA             ,95425,(707) 599-6177,2900,545,
WCC06-61838  ,KWIK E CLEAN CAR WASH & GAS             ,707 E YOSEMITE AVE                     ,                                        ,,MANTECA             ,CA             ,95336,(510) 846-2194,2900,545,
WCC06-61839  ,NATIONAL PETRO - AA CORP                ,713 N EL DORADO ST                      ,                                        ,,STOCKTON            ,CA             ,95202,(530) 554-0528,2900,545,
WCC06-61848  ,SMOOTHIELICIOUS                         ,876 COLE                                ,                                        ,,LIVERMORE           ,CA             ,94551,(510) 366-7714,2900,545,
WCC06-61849  ,C & F MARKET #2                         ,8829 HIGHWAY 33                         ,                                        ,,WESTLEY             ,CA             ,95387,(209) 222-0918,2900,545,
WCC04-240034 ,VERDUGO MARKET                          ,10524 HAGEMAN RD                        ,                                        ,,BAKERSFIELD         ,CA             ,93312,,2900,545,
WCC04-40014  ,VALERO - TEJON CHASE INC                ,9012 GRAPEVINE RD                       ,                                        ,,FRESNO              ,CA             ,93722,(661) 243-6921,2900,545,
WCC04-40017  ,MOBIL - TAFT                            ,2106 TAFT HWY                          ,                                        ,,BAKERSFIELD         ,CA             ,93313,(661) 301-6617,2900,545,
WCC04-40041  ,GASCO - OSWELL (INDIECO BENZ)           ,100 OSWELL ST                           ,                                        ,,BAKERSFIELD         ,CA             ,93307,(661) 477-4301,2900,545,
WCC07-25555  ,MINUTE MARKET #5                        ,304 NORTH MAIN STREET                   ,                                        ,,ASHLAND             ,OR             ,97520,(541) 482-5466,2900,545,
WCC07-25557  ,MINUTE MARKET #7                        ,2521 TABLE ROCK ROAD                    ,                                        ,,MEDFORD             ,OR             ,97501,(541) 779-1661,2900,545,
WCC07-70000  ,WAREHOUSE - MEDFORD                     ,65 S GROVE ROAD #CC448                  ,                                        ,,PHEONIX             ,OR             ,97535,,2900,545,
WCC09-1239   ,TAKE A BREAK - ESCONDIDO                ,1240 SIMPSON WAY                        ,                                        ,,ESCONDIDO           ,CA             ,92029,(760) 746-4800,2900,545,
WCC06-61852  ,ANABI OIL - SPEEDWAY                    ,1340 CAMDEN AVE                         ,                                        ,,SAN JOSE            ,CA             ,95123,,2900,545,
WCC06-61856  ,76 - SARATOGA                           ,14385 BIG BASIN WAY                     ,                                        ,,SARATOGA            ,CA             ,95070,(831) 761-2525,2900,545,
WCC06-61860  ,VALERO FOOD AND GAS                     ,795 N 13TH ST                          ,                                        ,,SAN JOSE            ,CA             ,95112,(408) 292-3861,2900,545,
WCC06-61864  ,DIAMOND GAS & MART - YOSEMITE BLVD      ,3401 YOSEMITE BVLD                      ,                                        ,,MODESTO             ,CA             ,95354,(209) 527-5211,2900,545,
WCC04-40042  ,CHEVRON - BRUNDAGE LANE (INDIECO BENZ)  ,4908 E BRUNDAGE LANE                    ,                                        ,,BAKERSFIELD         ,CA             ,93307,(661) 366-2511,2900,545,
WCC04-40047  ,MOBIL-T & A                             ,1685 N 10TH AVE                         ,                                        ,,HANFORD             ,CA             ,93230,(559) 582-2371,2900,545,
WCC04-40051  ,76 - LOST HILLS CHASE INC               ,21970 HWY 46                            ,                                        ,,LOST HILLS          ,CA             ,93249,(661) 797-2469,2900,545,
WCC09-190029 ,MIDTOWN MARKET                          ,2828 Q STREET                           ,                                        ,,SACRAMENTO          ,CA             ,95816,(916) 736-2373,2900,545,
WCC09-61065  ,BONFARE #27                             ,890 E TRAVIS BLVD                     ,                                        ,,FAIRFIELD           ,CA             ,94533,(707) 429-3459,2900,545,
WCC09-61099  ,STAR LIQUOR & GAS                       ,1369 N TEXAS                           ,                                        ,,FAIRFIELD           ,CA             ,94533,(707) 422-8366,2900,545,
WCC09-61489  ,FAMOUS MARKET & DELI                    ,1492 LINCOLN AVE                        ,                                        ,,SAN RAFAEL          ,CA             ,94901,(415) 457-0708,2900,545,
WCC06-61869  ,VALERO - 12TH ST                        ,2200 EAST 12TH ST                       ,                                        ,,OAKLAND             ,CA             ,94606,(510) 535-1672,2900,545,
WCC06-61872  ,GOLDEN BEAR GAS                         ,2057 EL DORADO ST                       ,                                        ,,STOCKTON            ,CA             ,95206,(209) 451-4418,2900,545,
WCC06-61877  ,SPEEDWAY EXPRESS #68159                 ,929 FREMONT AVE                         ,                                        ,,LOS ALTOS           ,CA             ,94024,(650) 949-3746,2900,545,
WCC06-61881  ,GIFT SHOP                               ,112 HYDE ST                             ,                                        ,,SAN FRANCISCO       ,CA             ,94102,(415) 867-2624,2900,545,
WCC04-40052  ,SHELL - PEACH - SMIRMISS INC DBA        ,390 W SHAW AVE                          ,                                        ,,CLOVIS              ,CA             ,93612,(559) 299-2170,2900,545,
WCC04-40064  ,SHELL - MANNING AVE.                    ,2747 MANNING AVE                       ,                                        ,,FRESNO              ,CA             ,93625,(559) 834-3634,2900,545,
WCC04-40079  ,CHEVERON - TIPTON                       ,591 N THOMPSON RD                       ,                                        ,,TIPTON              ,CA             ,93272,(559) 429-9011,2900,545,
WCC04-40080  ,HILLSIDE LIQUORS                        ,8501 KERN CANYON RD                     ,                                        ,,BAKERSFIELD         ,CA             ,93306,(760) 524-2289,2900,545,
WCC06-91047  ,VALERO - CARPENTER ROAD                 ,1521 N CARPENTER RD                     ,                                        ,,MODESTO             ,CA             ,95351,(209) 521-3641,2900,545,
WCC06-91134  ,SPLASH BROTHERS CARWASH                 ,15018 HESPERIAN BLVD                    ,                                        ,,SAN LEANDRO         ,CA             ,94578,(510) 276-1116,2900,545,
WCC06-91193  ,"WH BRESHEARS, INC.                      ",720 B ST                                ,                                        ,,MODESTO             ,CA             ,95354,(209) 765-0303,2900,545,
WCC07-1501678,FOOTS CREEK MARKET & DELI               ,3175 ROGUE RIVER HWY                    ,                                        ,,ROGUE RIVER         ,OR             ,97525,(541) 582-3339,2900,545,
WCC04-40098  ,76 FOOD MART - KERN CANYON RD           ,8101 KERN VALLEY RD                     ,                                        ,,BAKERSFIELD         ,OR             ,93306,(661) 366-7116,2900,545,
WCC04-40099  ,SHELL - SUNNYVIEW                       ,1050 CAPITAL HILLS PKWY                 ,                                        ,,TEHACHAPI           ,CA             ,93561,(661) 823-0472,2900,545,
WCC04-40108  ,SHELL - BROOKSIDE DELI 2                ,8803 CAMINO MEDIA                       ,                                        ,,BAKERSFIELD         ,CA             ,93311,(661) 654-8232,2900,545,
WCC04-40109  ,CALIMAX MARKET                          ,501 BOHANNAN AVE                        ,                                        ,,BAKERSFIELD         ,CA             ,93307,(661) 847-9848,2900,545,
WCC09-91036  ,WILBUR MARKET                           ,201 WILBUR AVE                          ,                                        ,,YUBA CITY           ,CA             ,95991,(530) 671-7434,2900,545,
WCC09-91054  ,EXPRESS MART                            ,151 JOINER PKWY                         ,                                        ,,LINCOLN             ,CA             ,95648,(916) 645-6891,2900,545,
WCC09-91131  ,RAYS FOOD PLACE #52 - FALL RIVER MILLS  ,43622 HWY 299 E                         ,                                        ,,FALL RIVER MILLS    ,CA             ,96028,(530) 336-5575,2900,545,
WCC09-95352  ,TOOLEY OIL - DUDLEY WAY (WATER)         ,5520 DUDLEY WAY                         ,                                        ,,SACRAMENTO          ,CA             ,95252,(916) 922-8860,2900,545,
WCC07-180014 ,PORTER'S RESTAURANT                     ,147 N FRONT ST                          ,                                        ,,MEDFORD             ,OR             ,97501,(541) 857-1910,2900,545,
WCC07-21097  ,SHOP SMART #28 - CAVE JUNCTION          ,205 WATKINS ST                          ,                                        ,,CAVE JUNCTION       ,OR             ,97523,(541) 592-3333,2900,545,
WCC07-25361  ,RAYS FOOD PLACE #61 - EAGLE POINT       ,11100 HWY 62                           ,                                        ,,EAGLE POINT         ,OR             ,97524,(541) 826-5925,2900,545,
WCC07-25498  ,DARDANELLES COMMUNITY STORE & GAS       ,9625 OLD STAGE RD                       ,                                        ,,CENTRAL POINT       ,OR             ,97502,(541) 324-7977,2900,545,
WCC04-40204  ,SPEEDS MART                             ,4201 SHIELDS AVE                        ,                                        ,,FRESNO              ,CA             ,93720,(661) 549-3799,2900,545,
WCC04-40209  ,VALERO - PANOCHE CHASE INC              ,46310 W PANOCHE RD                      ,                                        ,,FIREBAUGH           ,CA             ,93622,(559) 313-1874,2900,545,
WCC04-40211  ,UNION MARKET                            ,2201 S UNION AVE                        ,                                        ,,BAKERSFIELD         ,CA             ,93307,(661) 444-2696,2900,545,
WCC04-40212  ,CHEVRON - THE BARN - CHESTER            ,3700 N CHESTER AVE                     ,                                        ,,BAKERSFIELD         ,CA             ,93308,(661) 319-9412,2900,545,
WCC07-25545  ,SHOP N KART                             ,2268 ASHLAND ST                         ,                                        ,,ASHLAND             ,OR             ,97520,(541) 488-1579,2900,545,
WCC07-25553  ,MINUTE MARKET #3                        ,401 S OAKDALE AVE                       ,                                        ,,MEDFORD             ,OR             ,97501,(541) 773-5337,2900,545,
WCC07-25560  ,MINUTE MARKET #10                       ,843 WEST JACKSON STREET                 ,                                        ,,MEDFORD             ,OR             ,97501,(541) 772-7779,2900,545,
WCC07-70005  ,PAINTED ROOSTER BAKERY                  ,23790 REDWOOD HWY                       ,                                        ,,KERBYVILLE          ,OR             ,97531,(458) 212-1439,2900,545,
WCC04-40216  ,C AND F MARKET                          ,9246 RD 236                             ,                                        ,,TERRA BELLA         ,CA             ,93270,(510) 557-4508,2900,545,
WCC04-40217  ,76 - REFRESH MARKET                     ,11206 OLIVE DR                         ,                                        ,,BAKERSFIELD         ,CA             ,93312,(661) 364-4700,2900,545,
WCC04-40220  ,WOOD ST. MARKET                         ,801 WOOD ST                            ,                                        ,,TAFT                ,CA             ,93268,(661) 745-4965,2900,545,
WCC04-40227  ,VALERO HWY 46                           ,31988 CA 46                             ,                                        ,,MCFARLAND           ,CA             ,93250,(661) 204-4420,2900,545,
WCC09-95362  ,L & R GAS AND FOOD                      ,9545 LIVE OAK BLVD                     ,                                        ,,LIVE OAK            ,CA             ,95953,(530) 695-1609,2900,545,
WCC09-95363  ,CIRCLE 6 #1                             ,739 ARDEN WAY                           ,                                        ,,SACRAMENTO          ,CA             ,95815,(916) 646-6962,2900,545,
WCC09-95384  ,VALERO FOOD MART - REDDING OIL          ,1 SUTTER STREET                         ,                                        ,,RED BLUFF           ,CA             ,96080,(530) 527-8198,2900,545,
WCC09-95385  ,VALERO CORNING - REDDING OIL            ,790 EDITH AVENUE                        ,                                        ,,CORNING             ,CA             ,96021,(530) 824-0776,2900,545,
WCC09-61064  ,BONFARE #37                             ,1500 PETERSEN RD                       ,                                        ,,SUISUN CITY         ,CA             ,94585,(707) 428-1212,2900,545,
WCC09-61116  ,BONFARE #36                             ,2817 REDWOOD PARKWAY                    ,                                        ,,VALLEJO             ,CA             ,94591,(707) 731-2629,2900,545,
WCC09-61118  ,VALERO - TENNESSEE ST.                  ,505 TENNESSEE ST                       ,                                        ,,VALLEJO             ,CA             ,94590,(707) 644-5534,2900,545,
WCC09-61209  ,LARKSPUR GAS                            ,600 MAGNOLIA AVE                       ,                                        ,,LARKSPUR            ,CA             ,95939,(415) 924-1616,2900,545,
WCC04-40231  ,CHASE INC - BUTTONWILLOW                ,20661 TRACY AVE                         ,                                        ,,BUTTONWILLOW        ,CA             ,93206,(661) 764-5835,2900,545,
WCC04-61440  ,DELANO FOOD STORE                       ,2241 GIRARD ST                          ,                                        ,,DELANO              ,CA             ,93215,(661) 725-5142,2900,545,
WCC04-61454  ,SHELL - THE BARN                        ,19558 HWY 296                           ,                                        ,,EXETER              ,CA             ,93221,(559) 594-9157,2900,545,
WCC04-61555  ,CHEVRON - THE BARN                      ,202 N PLAZA                             ,                                        ,,VISALIA             ,CA             ,93291,(559) 651-1665,2900,545,
WCC09-95386  ,REDDING OIL - MAIN OFFICE               ,4990 MOUNTAIN LAKE DR                   ,                                        ,,REDDING             ,CA             ,96099,(530) 243-1217,2900,545,
WCC09-95400  ,KAYBEE GAS & LIQUOR INC                 ,9192 DESCHUTES RD                      ,                                        ,,PALO CEDRO          ,CA             ,96073,(530) 547-4213,2900,545,
WCC09-95464  ,BONFARE #40                             ,861 FULTON AVE                          ,                                        ,,SACRAMENTO          ,CA             ,95825,(916) 483-4382,2900,545,
WCC09-95469  ,USA STAR 1                              ,8908 ELDER CREEK RD                     ,                                        ,,SACRAMENTO          ,CA             ,95829,(916) 379-0001,2900,545,
WCC09-61285  ,76 - LEISURE TOWN                       ,817 LEISURE RD                          ,                                        ,,VACAVILLE           ,CA             ,95698,(707) 448-8700,2900,545,
WCC09-61344  ,A & A GAS INC                           ,1009 OLIVER RD                          ,                                        ,,FAIRFIELD           ,CA             ,94534,(707) 399-3600,2900,545,
WCC09-90154  ,KWIK SERV                               ,516 TAMALPAIS ROAD                      ,                                        ,,CORTE MADERA        ,CA             ,94925,(415) 927-1080,2900,545,
WCC09-91030  ,FAIRGROUND MARKET AND GAS               ,118 GARDEN HWY                          ,                                        ,,YUBA CITY           ,CA             ,95911,(530) 673-5089,2900,545,
WCC09-95490  ,TOOLEY OIL - ZINFANDEL DRIVE (WATER)    ,3050 ZINFANDEL DRIVE                    ,                                        ,,RANCHO CORDOVA      ,CA             ,95670,(916) 635-4351,2900,545,
WCC09-95498  ,RAYS FOOD PLACE #26 - FORT JONES        ,11307 MAIN ST                           ,                                        ,,FORT JONES          ,CA             ,96032,(530) 468-2583,2900,545,
WCC09-95499  ,VALERO - WALEGRA                        ,4311 ANTELOPE RD                        ,                                        ,,SACRAMENTO          ,CA             ,95843,(916) 308-0815,2900,545,
WCC09-95570  ,BONFARE #31                             ,2301 WALTERS RD                         ,                                        ,,FAIRFIELD           ,CA             ,94533,(707) 428-1176,2900,545,
WCC06-250011 ,SHELL - HEGENBERGER - RADC ENTERPRISES  ,285 HEGENBERGER RD                      ,                                        ,,OAKLAND             ,CA             ,95401,(510) 568-5191,2900,545,
WCC06-40097  ,STAR FOOD MART - SHIRDHI INC.           ,130 E ROBERTSON BLVD                  ,                                        ,,CHOWCHILLA          ,CA             ,93610,(559) 665-2007,2900,545,
WCC06-61017  ,VALERO - ANTIOCH                        ,2101 SOMMERVILLE RD                    ,                                        ,,ANTIOCH             ,CA             ,94509,(925) 757-2653,2900,545,
